"user_name","start_date","end_date"
"Pamputt","2014-03-04 00:00:00",
"Taketa","2014-06-08 00:00:00",
"Jianhui67","2014-06-12 00:00:00",
"Ash Crow","2014-08-26 00:00:00",
"Nikosguard","2014-10-15 00:00:00",
"Harmonia Amanda","2014-10-19 00:00:00",
"Jared Preston","2014-12-19 00:00:00",
"Mbch331","2015-05-13 00:00:00",
"Nikki","2015-07-25 00:00:00",
"Lakokat","2015-11-14 00:00:00",
"Eurodyne","2015-12-16 00:00:00",
"HakanIST","2016-02-09 00:00:00",
"יונה בנדלאק","2017-01-04 00:00:00",
"yoNULL b","2017-01-04 00:00:00",
"MisterSynergy","2017-05-27 00:00:00",
"Queryzo","2017-05-27 00:00:00",
"ChristianKl","2017-05-27 00:00:00",
"علاء","2017-09-01 00:00:00",
"Ala'a","2017-09-01 00:00:00",
"Jarekt","2018-01-10 00:00:00",
"Mahir256","2018-01-18 00:00:00",
"99of9","2012-11-07 00:00:00",
"Almondega","2014-01-07 00:00:00",
"ArthurPSmith","2012-11-08 00:00:00",
"Ayack","2012-10-30 00:00:00",
"Danrok","2013-02-18 00:00:00",
"Emw","2012-10-31 00:00:00",
"Fralambert","2013-02-15 00:00:00",
"GZWDer","2013-03-28 00:00:00",
"Ivan A. Krestinin","2013-02-09 00:00:00",
"Izno","2012-10-31 00:00:00",
"JakobVoss","2012-11-02 00:00:00",
"JoNULLthan Groß","2012-12-08 00:00:00",
"Joshbaumgartner","2013-04-28 00:00:00",
"Jura1","2014-01-11 00:00:00",
"Kolja21","2012-11-11 00:00:00",
"MSGJ","2013-02-18 00:00:00",
"Mattflaschen","2012-10-31 00:00:00",
"Tobias1984","2012-11-28 00:00:00",
"Yellowcard","2013-01-16 00:00:00",
